time , Temperature , pressure 
2021-11-21 21:34:11.593586, 33.7021484375, 1022.61083984375  
2021-11-21 21:34:11.697375, 33.812408447265625, 1022.60546875  
2021-11-21 21:34:11.801052, 33.720523834228516, 1022.619140625  
2021-11-21 21:34:11.904718, 33.6653938293457, 1022.62060546875  
2021-11-21 21:34:12.008400, 33.7389030456543, 1022.622802734375  
2021-11-21 21:34:12.112068, 33.6653938293457, 1022.619873046875  
2021-11-21 21:34:12.215770, 33.64701843261719, 1022.622314453125  
2021-11-21 21:34:12.319437, 33.6653938293457, 1022.62841796875  
2021-11-21 21:34:12.423113, 33.775657653808594, 1022.629638671875  
2021-11-21 21:34:12.526781, 33.720523834228516, 1022.641357421875  
2021-11-21 21:34:12.633259, 33.720523834228516, 1022.63916015625  
2021-11-21 21:34:12.738725, 33.68376922607422, 1022.63623046875  
2021-11-21 21:34:12.844662, 33.7389030456543, 1022.626953125  
2021-11-21 21:34:12.950595, 33.6653938293457, 1022.6259765625  
2021-11-21 21:34:13.056577, 33.75727844238281, 1022.622314453125  
2021-11-21 21:34:13.162529, 33.75727844238281, 1022.61572265625  
2021-11-21 21:34:13.268531, 33.830787658691406, 1022.615478515625  
2021-11-21 21:34:13.374489, 33.7021484375, 1022.6181640625  
2021-11-21 21:34:13.480496, 33.79403305053711, 1022.6201171875  
2021-11-21 21:34:13.586451, 33.628639221191406, 1022.620361328125  
2021-11-21 21:34:13.692395, 33.75727844238281, 1022.619140625  
2021-11-21 21:34:13.798333, 33.7021484375, 1022.612060546875  
2021-11-21 21:34:13.904292, 33.775657653808594, 1022.609375  
2021-11-21 21:34:14.010248, 33.775657653808594, 1022.607421875  
2021-11-21 21:34:14.116261, 33.61026382446289, 1022.61328125  
2021-11-21 21:34:14.222221, 33.68376922607422, 1022.615966796875  
2021-11-21 21:34:14.328161, 33.7021484375, 1022.612060546875  
2021-11-21 21:34:14.434089, 33.7021484375, 1022.6123046875  
2021-11-21 21:34:14.540035, 33.720523834228516, 1022.6083984375  
2021-11-21 21:34:14.645996, 33.75727844238281, 1022.610107421875  
2021-11-21 21:34:14.751957, 33.7021484375, 1022.60107421875  
2021-11-21 21:34:14.857907, 33.628639221191406, 1022.606689453125  
2021-11-21 21:34:14.963914, 33.6653938293457, 1022.607666015625  
2021-11-21 21:34:15.069871, 33.830787658691406, 1022.610107421875  
2021-11-21 21:34:15.175848, 33.84916305541992, 1022.609619140625  
2021-11-21 21:34:15.281803, 33.720523834228516, 1022.614013671875  
2021-11-21 21:34:15.387769, 33.775657653808594, 1022.617431640625  
2021-11-21 21:34:15.493759, 33.7389030456543, 1022.61767578125  
2021-11-21 21:34:15.599720, 33.7389030456543, 1022.618896484375  
